time_step,bicg_total_misses,bicg_dead_misses,atax_total_misses,atax_dead_misses
1010,16,0,32,32
1011,16,0,32,32
1012,16,0,32,32
1013,16,0,32,32
1014,16,0,32,32
1015,16,0,32,32
1016,16,0,32,32
1017,16,0,32,32
1018,16,0,32,32
1019,16,0,32,32
1020,16,0,32,32
1021,16,0,32,32
1022,16,0,32,32
1023,16,0,32,32
1024,16,0,39,39
1025,29,13,32,32
1026,25,25,32,32
1027,25,25,32,32
1028,30,30,32,32
1029,25,25,32,32
1030,25,25,32,32
1031,30,30,32,32
1032,25,25,32,32
1033,25,25,60,60
1034,30,30,60,60
1035,25,25,60,60
1036,25,25,60,60
1037,30,30,60,60
1038,25,25,60,60
1039,25,25,60,60
1040,30,30,60,60
1041,25,25,32,32
1042,25,25,32,32
1043,30,30,32,32
1044,25,25,32,32
1045,25,25,32,32
1046,30,30,32,32
1047,25,25,32,32
1048,25,25,32,32
1049,30,30,32,32
1050,25,25,32,32
1051,25,25,32,32
1052,30,30,32,32
1053,25,25,32,32
1054,25,25,32,32
1055,30,30,32,32
1056,25,25,32,32
1057,25,25,32,32
1058,34,34,32,32
1059,25,25,32,32
1060,25,25,32,32
1061,30,30,32,32
1062,25,25,32,32
1063,25,25,32,32
1064,30,30,32,32
1065,25,25,32,32
1066,25,25,32,32
1067,30,30,32,32
1068,25,25,32,32
1069,25,25,32,32
1070,30,30,32,32
1071,25,25,32,32
1072,25,25,32,32
1073,30,30,32,32
1074,25,25,32,32
1075,25,25,32,32
1076,30,30,32,32
1077,25,25,32,32
1078,25,25,32,32
1079,30,30,32,32
1080,25,25,32,32
1081,25,25,32,32
1082,30,30,32,32
1083,25,25,32,32
1084,25,25,32,32
1085,30,30,32,32
1086,25,25,32,32
1087,29,29,32,32
1088,30,30,32,32
1089,25,25,32,32
1090,25,25,32,32
1091,30,30,32,32
1092,25,25,32,32
1093,25,25,32,32
1094,30,30,32,32
1095,25,25,32,32
1096,25,25,32,32
1097,30,30,32,32
1098,25,25,32,32
1099,25,25,32,32
1100,30,30,32,32
1101,25,25,32,32
1102,25,25,32,32
1103,30,30,32,32
1104,25,25,36,36
1105,25,25,32,32
1106,30,30,32,32
1107,25,25,32,32
1108,25,25,32,32
1109,30,30,32,32
1110,25,25,32,32
1111,25,25,32,32
1112,30,30,32,32
1113,25,25,32,32
1114,25,25,32,32
1115,30,30,32,32
1116,25,25,32,32
1117,25,25,32,32
1118,30,30,32,32
1119,25,25,32,32
1120,25,25,32,32
1121,30,30,32,32
1122,25,25,32,32
1123,25,25,32,32
1124,30,30,32,32
1125,29,29,32,32
1126,25,25,32,32
1127,30,30,32,32
1128,25,25,32,32
1129,25,25,32,32
1130,30,30,32,32
1131,25,25,32,32
1132,25,25,32,32
1133,30,30,32,32
1134,25,25,32,32
1135,25,25,32,32
1136,30,30,32,32
1137,25,25,28,28
1138,25,25,32,32
1139,30,30,32,32
1140,25,25,32,32
1141,25,25,32,32
1142,30,30,32,32
1143,25,25,32,32
1144,25,25,32,32
1145,30,30,32,32
1146,25,25,32,32
1147,25,25,32,32
1148,30,30,32,32
1149,25,25,32,32
1150,25,25,32,32
1151,30,30,32,32
1152,25,25,32,32
1153,25,25,36,36
1154,30,30,32,32
1155,25,25,32,32
1156,25,25,32,32
1157,30,30,32,32
1158,25,25,32,32
1159,25,25,32,32
1160,30,30,32,32
1161,25,25,32,32
1162,25,25,32,32
1163,30,30,32,32
1164,25,25,32,32
1165,25,25,32,32
1166,30,30,32,32
1167,25,25,32,32
1168,25,25,32,32
1169,30,30,36,36
1170,25,25,32,32
1171,25,25,32,32
1172,30,30,32,32
1173,29,29,32,32
1174,25,25,32,32
1175,30,30,32,32
1176,25,25,32,32
1177,25,25,32,32
1178,30,30,32,32
1179,25,25,32,32
1180,25,25,32,32
1181,30,30,32,32
1182,25,25,32,32
1183,25,25,32,32
1184,30,30,32,32
1185,25,25,36,36
1186,25,25,32,32
1187,30,30,32,32
1188,25,25,32,32
1189,25,25,32,32
1190,30,30,32,32
1191,25,25,32,32
1192,25,25,32,32
1193,30,30,32,32
1194,25,25,32,32
1195,25,25,32,32
1196,30,30,32,32
1197,25,25,32,32
1198,25,25,32,32
1199,30,30,32,32
1200,25,25,32,32
1201,25,25,32,32
1202,30,30,32,32
1203,25,25,32,32
1204,25,25,32,32
1205,30,30,32,32
1206,25,25,32,32
1207,25,25,32,32
1208,30,30,32,32
1209,25,25,32,32
1210,25,25,32,32
1211,30,30,32,32
1212,25,25,32,32
1213,25,25,32,32
1214,30,30,32,32
1215,25,25,32,32
1216,25,25,32,32
1217,30,30,32,32
1218,25,25,32,32
1219,25,25,32,32
1220,30,30,32,32
1221,29,29,32,32
1222,25,25,32,32
1223,30,30,32,32
1224,25,25,32,32
1225,25,25,36,36
1226,30,30,32,32
1227,25,25,32,32
1228,25,25,32,32
1229,30,30,32,32
1230,25,25,32,32
1231,25,25,32,32
1232,30,30,32,32
1233,25,25,32,32
1234,25,25,32,32
1235,30,30,32,32
1236,25,25,32,32
1237,25,25,32,32
1238,30,30,32,32
1239,25,25,32,32
1240,25,25,32,32
1241,30,30,32,32
1242,25,25,32,32
1243,25,25,32,32
1244,30,30,32,32
1245,25,25,32,32
1246,25,25,32,32
1247,30,30,32,32
1248,25,25,32,32
1249,25,25,32,32
1250,30,30,32,32
1251,25,25,32,32
1252,25,25,32,32
1253,30,30,32,32
1254,25,25,32,32
1255,25,25,32,32
1256,30,30,32,32
1257,25,25,36,36
1258,25,25,32,32
1259,34,34,32,32
1260,25,25,32,32
1261,25,25,32,32
1262,30,30,32,32
1263,25,25,32,32
1264,25,25,32,32
1265,30,30,32,32
1266,25,25,32,32
1267,25,25,32,32
1268,30,30,32,32
1269,25,25,32,32
1270,25,25,32,32
1271,30,30,32,32
1272,25,25,32,32
1273,25,25,32,32
1274,30,30,32,32
1275,25,25,32,32
1276,25,25,32,32
1277,30,30,32,32
1278,25,25,32,32
1279,25,25,32,32
1280,30,30,32,32
1281,25,25,32,32
1282,25,25,32,32
1283,30,30,32,32
1284,25,25,32,32
1285,25,25,32,32
1286,30,30,32,32
1287,25,25,32,32
1288,25,25,32,32
1289,30,30,32,32
1290,25,25,32,32
1291,25,25,32,32
1292,30,30,32,32
1293,25,25,32,32
1294,25,25,32,32
1295,30,30,32,32
1296,25,25,32,32
1297,25,25,36,36
1298,34,34,32,32
1299,25,25,32,32
1300,25,25,32,32
1301,30,30,32,32
1302,25,25,32,32
1303,25,25,32,32
1304,30,30,32,32
1305,25,25,32,32
1306,25,25,32,32
1307,30,30,32,32
1308,25,25,32,32
1309,25,25,32,32
1310,30,30,32,32
1311,25,25,32,32
1312,25,25,32,32
1313,30,30,32,32
1314,25,25,32,32
1315,25,25,32,32
1316,30,30,32,32
1317,29,29,32,32
1318,25,25,32,32
1319,30,30,32,32
1320,25,25,32,32
1321,25,25,32,32
1322,30,30,32,32
1323,25,25,32,32
1324,25,25,32,32
1325,30,30,32,32
1326,25,25,32,32
1327,25,25,32,32
1328,30,30,32,32
1329,25,25,32,32
1330,25,25,32,32
1331,30,30,32,32
1332,25,25,32,32
1333,25,25,32,32
1334,30,30,32,32
1335,25,25,32,32
1336,25,25,32,32
